parameter,n_eff
matchup[1],5342.8407755701
matchup[2],5447.20890629381
matchup[3],5348.210522903
matchup[4],4709.72488421308
matchup[5],5521.74175469954
matchup[6],4727.91274057755
matchup[7],5582.89218261014
matchup[8],5051.80427527041
matchup[9],6188.74167261255
matchup[10],5507.25067316486
matchup[11],6284.51852319397
matchup[12],5685.55133991178
matchup[13],5480.34332319401
matchup[14],6251.16377683738
matchup[15],5545.67163433761
matchup[16],6271.63357718473
matchup[17],5975.24388833532
matchup[18],4874.73364198406
matchup[19],5902.7692189136
matchup[20],5157.1630163154
matchup[21],5344.69409333921
matchup[22],5380.3320078157
matchup[23],5937.53332520384
matchup[24],5476.8224553388
matchup[25],5977.34199201856
matchup[26],5407.20470124963
matchup[27],5935.02977752574
matchup[28],6271.64386869504
matchup[29],6293.71526941445
matchup[30],4659.31868120891
matchup[31],5905.748316301
matchup[32],5801.34595202562
matchup[33],5121.31110236442
matchup[34],5258.76676034157
matchup[35],5876.17396608126
matchup[36],6594.82804085247
matchup[37],5006.32644071497
matchup[38],7390.49204534969
matchup[39],6063.63464133448
matchup[40],5133.47499273725
matchup[41],6150.82869335284
matchup[42],5426.4756132604
matchup[43],5289.71452183052
matchup[44],5523.90290843186
matchup[45],6021.8075763238
matchup[46],5242.11569534739
matchup[47],5165.18303272899
matchup[48],4834.7399835971
matchup[49],6564.10815142139
matchup[50],5555.35341988049
matchup[51],4953.34396850814
matchup[52],5817.72649276593
matchup[53],6737.55355397651
matchup[54],6071.79774655837
matchup[55],5533.13057946504
matchup[56],6049.70108461065
matchup[57],5853.73383982354
matchup[58],6038.55893615797
matchup[59],5998.99830604066
matchup[60],5814.52543852192
matchup[61],5717.58589563418
matchup[62],5268.94020572385
matchup[63],5694.66919104666
matchup[64],5202.92995562716
matchup[65],5526.49841761923
matchup[66],5524.23278872486
matchup[67],6399.53076080098
matchup[68],5132.03962666232
matchup[69],4793.40772630231
matchup[70],5633.9758148015
matchup[71],4450.20469434288
matchup[72],4891.63160109655
matchup[73],4891.63160109655
matchup[74],5957.90894288001
matchup[75],5293.3639544874
matchup[76],5209.71168484957
matchup[77],5529.82958312143
matchup[78],5531.49551374761
matchup[79],5658.78631813147
matchup[80],5129.04023310078
matchup[81],5639.96143682671
matchup[82],5341.83902889701
matchup[83],5007.9681749682
matchup[84],4408.31922822529
matchup[85],4859.66259054646
matchup[86],4619.23110871171
matchup[87],5095.70456550792
matchup[88],5619.62121021846
matchup[89],6320.7797351037
matchup[90],5027.71702045029
matchup[91],5496.59530930532
matchup[92],5104.35060761426
matchup[93],4991.91992919718
matchup[94],6205.73131387647
matchup[95],5835.2279312899
matchup[96],5374.76325822665
matchup[97],5844.49572528035
matchup[98],5760.30479154581
matchup[99],4397.09435195943
matchup[100],5582.1806095947
matchup[101],5562.69722006993
matchup[102],4959.14753833513
matchup[103],6196.4064029127
matchup[104],5433.42363276504
matchup[105],5791.70079327158
matchup[106],5956.66287712311
matchup[107],6013.1711486431
matchup[108],6344.77585637251
matchup[109],5552.415686888
matchup[110],5227.65319301925
matchup[111],4559.68035519323
matchup[112],5387.51921120917
matchup[113],4819.44571499534
matchup[114],6783.91860602038
matchup[115],6440.21145531048
matchup[116],5371.42183757556
matchup[117],5553.64417246881
matchup[118],5500.72028689372
matchup[119],5222.80115363547
matchup[120],4709.73526740377
matchup[121],4167.56159862673
matchup[122],4571.06953174502
matchup[123],5334.40020006191
matchup[124],5397.89536847797
matchup[125],6283.36736678938
matchup[126],5441.92790701094
matchup[127],5292.77156493196
matchup[128],4896.27999880562
matchup[129],5292.0910625601
matchup[130],5835.51273818284
matchup[131],6005.8945357439
matchup[132],6497.65697611174
matchup[133],5109.23386162487
matchup[134],7423.11251009087
matchup[135],6570.0281203642
matchup[136],5447.95029818459
matchup[137],5145.67130714126
matchup[138],5173.01977314909
matchup[139],5279.08482914361
matchup[140],5751.549635917
matchup[141],6134.27320073381
matchup[142],6172.46880422741
matchup[143],5609.3107216204
matchup[144],5596.92583375281
matchup[145],4640.50245985562
matchup[146],6092.11066527324
matchup[147],5382.7481378229
matchup[148],6646.94457199367
matchup[149],5213.19871890342
matchup[150],6307.56749402244
matchup[151],5152.12282620068
matchup[152],5559.48328747871
matchup[153],4991.91992919718
matchup[154],5371.80722953473
matchup[155],5794.64659848545
matchup[156],5348.51889485317
matchup[157],5147.76891037745
matchup[158],5586.8916881545
matchup[159],5146.51340366085
matchup[160],7050.67469137231
matchup[161],4576.12143703075
matchup[162],5543.27609157853
matchup[163],5884.96945346813
matchup[164],6200.11158513475
matchup[165],5422.51827579935
matchup[166],5252.20820089377
matchup[167],4453.05773961999
matchup[168],4656.32269744977
matchup[169],5273.20419443844
matchup[170],5790.83610782167
matchup[171],5246.79644622778
matchup[172],5083.11269299812
matchup[173],5020.80117652123
matchup[174],5780.35816650414
matchup[175],5630.90671843777
matchup[176],5111.33198636622
